filePaths,rhythm,stim1,stim2,stim3,stim4,stim5,stim6,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,stim6Start,stim6End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim6_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,stim6Start_i2,stim6End_i2,audFile_i2,audStart_i2,similCat_i2,setVol,corrMatchAnswer,condFilePath,sensoryCond,stimStart,overallRhythmOrder.thisRepN,overallRhythmOrder.thisTrialN,overallRhythmOrder.thisN,overallRhythmOrder.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,goToNext.started,goToNext.keys,goToNext.rt,variableInstructions.started,goToBlockKey.started,goToBlockKey.keys,goToBlockKey.rt,text_2.started,preFix.started,preFix.stopped,holdFix.started,audioTrialSound.started,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,holdFix.stopped,cir6.started,cir6.stopped,text.started,text.stopped,holdFix_i2.started,audioTrialSound_i2.started,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,holdFix_i2.stopped,rhythmChoice.started,promptTxt.started,rhythmChoice.keys,rhythmChoice.rt,text_5.started,text_5.stopped,text_2.stopped,breatheBro.started,image.started,spaceTxt.started,keyToGo.started,keyToGo.keys,keyToGo.rt,mainInstrText.started,MoveToMainTask.started,MoveToMainTask.keys,MoveToMainTask.rt,whichBlkTxt.started,LetsGoGirls.started,LetsGoGirls.keys,LetsGoGirls.rt,fixCross.started,catchEarly.started,text_4.started,catchEarly.stopped,gratingStim.started,beepStim.started,yesHitIt.started,gratingStim.stopped,yesHitIt.keys,yesHitIt.rt,catchEarly.keys,feedbackIfNeeded.started,annoyingBeep.started,annoyingBeep.stopped,feedbackIfNeeded.stopped,fixCross.stopped,wordListTime,wordRecallInstr.started,keytoWords.started,keytoWords.keys,keytoWords.rt,textForWords.started,wordText.started,wordTestTiming.started,textForWords.text,wordTestTiming.keys,wordTestTiming.rt,byebyeText.started,pressToEnd.started,pressToEnd.keys,pressToEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26384746300755,11.4539032199973,space,36.09046808599669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,19,2,1,2,1,2,1,11,41,56,61,76,106,121,126,141,171,186,191,3_audFile.wav,10,6,19,2,1,2,1,2,1,11,41,56,61,76,106,121,126,141,171,186,191,3_audFile.wav,10,6,0,1,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,47.67435001600825,47.77422263700282,space,4.4573098799883155,52.275472060005995,52.4456082819961,53.445823482004926,53.47586368500197,53.575935690700135,53.58593779600051,53.88622710600612,54.03594514800352,54.08610354599659,54.23611551900103,54.53620635900006,54.6862031060009,54.73616987900459,54.88622323599702,55.18636948699714,55.33646939400933,55.33646939400933,55.386357518000295,55.386357518000295,56.69681803800631,56.69681803800631,56.79680482570984,56.80673457100056,57.10686129500391,57.25693772399973,57.30703659800929,57.457041219007806,57.7571687699965,57.907056484997156,57.95717560900084,58.107147789007286,58.40732774900971,58.55729775900545,58.60730306600453,59.05745060800109,59.05745060800109,59.05745060800109,1,2.845837231987389,61.92824646900408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,25,2,1,1,2,1,2,11,41,56,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,6,25,2,1,1,2,1,2,11,41,56,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,6,0,1,,,,0,0,0,0,0,1,1,30,,,,,,,,,,,,,,,,,63.42875828400429,63.6087035620003,64.60899434200837,64.62924885400571,64.72911192369793,64.73911433600006,65.0391672859987,65.189210224009,65.23919150100846,65.3893585140031,65.43929583400313,65.58935685100732,65.8894852950034,66.03959072800353,66.08937864100153,66.48955868200574,66.23955496800772,66.53956769499928,66.53956769499928,67.84991198500211,67.84991198500211,67.94998465971003,67.96005966200028,68.26010874799977,68.41020111700345,68.46012426599918,68.61013478299719,68.66017160500633,68.81020229200658,69.11029007499747,69.26037006999832,69.31032056100958,69.46045677299844,69.76043243000458,70.21058340399759,70.21058340399759,70.21058340399759,1,1.189640144992154,71.42097701999592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,28,1,2,1,1,2,2,11,16,31,61,76,81,96,101,116,146,161,191,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,31,61,76,81,96,126,141,171,186,191,3_audFile.wav,10,5,0,2,,,,0,0,0,0,0,2,2,27,,,,,,,,,,,,,,,,,72.92132708600548,73.10152484600258,74.10180758399656,74.12174761600909,74.22173147369904,74.23190321899892,74.28167691199633,74.43187224400754,74.73188813900924,74.88197704299819,74.93193738500122,75.08199510299892,75.13199702200654,75.2820552589983,75.58220984099898,75.98232904500037,75.73212590000185,76.0322362450097,76.0322362450097,77.33299511500809,77.33299511500809,77.43270634170767,77.44261698900664,77.49272630900668,77.64264748900314,77.94299462399795,78.09287516200857,78.1429039890063,78.29294117901009,78.59309141199628,78.74312739800371,79.0430987310101,79.19309970100585,79.243206981002,79.69331656700524,79.69331656700524,79.69331656700524,2,1.099200002005091,80.81362362700747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,17,2,1,2,2,1,1,11,41,56,61,76,106,121,151,166,171,186,191,3_audFile.wav,10,6,23,2,1,2,1,1,2,11,41,56,61,76,106,121,126,141,146,161,191,3_audFile.wav,10,6,0,2,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,82.31414999000845,82.50420423400647,83.5044444820087,83.51445497000532,83.61444388070231,83.6244993500004,83.92448369100748,84.07456092600478,84.12467032800487,84.27464031599811,84.57469403100549,84.72485595900798,85.02483894799661,85.17497303300479,85.22487055000965,85.37498835900624,85.37498835900624,85.42497472200193,85.42497472200193,86.72556409500248,86.72556409500248,86.82538751970424,86.8353299809969,87.13544580999587,87.28556914199726,87.3355564789963,87.48558008800319,87.7857358350011,87.93565734000003,87.98574033699697,88.13575580000179,88.18570124600956,88.3357681750058,88.63588627500576,89.08606919200975,89.08606919200975,89.08606919200975,2,1.825255642994307,90.93656275499961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,26,1,2,1,2,1,2,11,16,31,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,31,61,76,81,96,126,141,171,186,191,3_audFile.wav,10,5,0,2,,,,0,0,0,0,0,4,4,21,,,,,,,,,,,,,,,,,92.43691875399963,92.61696681800822,93.61729392501002,93.6375160900061,93.73737890070333,93.74743912900158,93.79736117900757,93.9475516359962,94.24747800700425,94.39751278300537,94.44763693399727,94.59760214299604,94.89767531400139,95.04774715400708,95.09778265000205,95.49793100899842,95.24772516499797,95.54781453000032,95.54781453000032,96.84838113500155,96.84838113500155,96.94822787670273,96.95820153600653,97.00835694299894,97.1583110329957,97.45839572700788,97.60837358600111,97.6585056949989,97.80852240700915,98.10862653900404,98.2587331780087,98.55872741399799,98.70871077800984,98.75882345200807,99.20891875799862,99.20891875799862,99.20891875799862,2,0.6225879029952921,99.85915815200133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,18,2,2,1,1,2,1,11,41,56,86,101,106,121,126,141,171,186,191,3_audFile.wav,10,7,18,2,2,1,1,2,1,11,41,56,86,101,106,121,126,141,171,186,191,3_audFile.wav,10,7,0,1,,,,0,0,0,0,0,5,5,20,,,,,,,,,,,,,,,,,101.35959670500597,101.53973447599856,102.539877711999,102.55989760700322,102.65996893970441,102.6699498710077,102.9699538720015,103.12005859499914,103.4201187340077,103.57018027101003,103.62016266700812,103.77023075400211,103.82025118599995,103.97026198099775,104.27043097100977,104.42039981100243,104.42039981100243,104.47042537599918,104.47042537599918,105.77096106400131,105.77096106400131,105.87087185170822,105.88080383700435,106.18089399000746,106.33093671999814,106.63115698299953,106.78114597400418,106.83112055400852,106.98125956700824,107.0312240869971,107.18119219099754,107.48140829100157,107.63145958300447,107.68143469200004,108.1315492720023,108.1315492720023,108.1315492720023,1,0.6201935129938647,108.77151307900203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,16,2,2,1,2,1,1,11,41,56,86,101,106,121,151,166,171,186,191,3_audFile.wav,10,7,18,2,2,1,1,2,1,11,41,56,86,101,106,121,126,141,171,186,191,3_audFile.wav,10,7,0,2,,,,0,0,0,0,0,6,6,22,,,,,,,,,,,,,,,,,110.27213027300604,110.46214147099818,111.46241119899787,111.47261279000668,111.57241109670576,111.58256705000531,111.88261349299864,112.03258408000693,112.33270666300086,112.48266402400623,112.53279471299902,112.68279619399982,112.98297269899922,113.13289448800788,113.18295796200982,113.3329201710003,113.3329201710003,113.38297290999617,113.38297290999617,114.68365890500718,114.68365890500718,114.78332239970769,114.79341273200407,115.09340428400901,115.24351955400198,115.54356741100491,115.69371890700131,115.74361959000817,115.89369959200849,115.94376556800853,116.09378397700493,116.39380382900708,116.54390308899747,116.59389945700241,117.04399613299756,117.04399613299756,117.04399613299756,2,0.7719416489999276,117.8342223840009,119.33463469799608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,18,2,2,1,1,2,1,11,41,56,86,101,106,121,126,141,171,186,191,3_audFile.wav,10,7,16,2,2,1,2,1,1,11,41,56,86,101,106,121,151,166,171,186,191,3_audFile.wav,10,7,0,2,,,,0,0,0,0,0,7,7,25,,,,,,,,,,,,,,,,,119.33463469799608,119.5247391390003,120.52500314801,120.53540514600172,120.63507214470155,120.64506906899624,120.9451809930033,121.09513842999877,121.39523872699647,121.54543542100873,121.59534262900706,121.74537685800169,121.79539610900974,121.94542954899953,122.24555266700918,122.39550734500517,122.39550734500517,122.4454933609959,122.4454933609959,123.75590571000066,123.75590571000066,123.85598410270904,123.86594917000912,124.16606725200836,124.31618715499644,124.61615675700887,124.7662449220079,124.81621935800649,124.9663562420028,125.26638033700874,125.41647812600422,125.46647690700775,125.61644067600719,125.66645061600138,126.11666020900884,126.11666020900884,126.11666020900884,2,1.3237279260065407,127.46700642899668,,120.53540514600172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/4_VisualBlock1.csv,29,1,1,2,1,2,2,11,16,31,36,51,81,96,101,116,146,161,191,3_audFile.wav,10,4,29,1,1,2,1,2,2,11,16,31,36,51,81,96,101,116,146,161,191,3_audFile.wav,10,4,0,1,,,,0,0,0,0,0,8,8,13,,,,,,,,,,,,,,,,,128.9673884369986,129.1474936779996,130.14780622400576,130.16787323800963,130.26790610570606,130.27781205900828,130.32789621700067,130.47785357000248,130.52792024600785,130.6778810399992,130.97788329300238,131.1280554850091,131.17814242800523,131.32810618499934,131.62815360999957,132.02824406900618,131.77825790300267,132.07837314000062,132.07837314000062,133.37887673900696,133.37887673900696,133.47863208771014,133.48863117900328,133.53870673199708,133.68867692800995,133.7387429579976,133.8889032379957,134.18897684299736,134.33891775200027,134.3890714230074,134.5389202189981,134.8391590030078,134.9890500150068,135.28934790300264,135.73943933499686,135.73943933499686,135.73943933499686,1,0.356415365007706,136.11955762399884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2023-02-02_10h21.18.638,Cognition2_FullCode1,2022.2.5,99.96623840939809,
