ps,SIFI_A_Acc,SIFI_V_Acc,SIFI_B_A_Acc,SIFI_B_V_Acc,SIFI_B_Acc,pitchSummaryAcc,ravenSummaryAcc,RhythmVAcc,RhythmAAcc,SRTA_median,SRTV_median,SRTB_median,SRTA_mean,SRTV_mean,SRTB_mean,SpeechAAcc,SpeechAVAcc,Noise,localizationDistV,localizationDistA,minRT,meanRT,medianRT,Corsi,lns_length,lns_hit,lns_miss,lns_hitRate,d2_hit,d2_miss,d2_FA,d2_CR,d2_hitRate,d2_faRate,d2_adjHitR,WordMemoryAcc
13,0.9791666666666666,0.9166666666666666,0.9444444444444444,0.6666666666666666,0.6055555555555555,0.8313253012048193,0.8571428571428571,0.71875,0.5,0.20049278999795206,0.2636360409960616,0.17926245498529164,3.0752926625010635,0.26996762510429234,0.1936322395990525,,,,,,,,,8.0,7.0,10.0,2.0,0.8333333333333334,135.0,2.0,1.0,134.0,0.9854014598540146,0.007407407407407408,0.9779940524466072,0.35
14,0.9791666666666666,0.75,0.9444444444444444,0.5555555555555556,0.5222222222222223,0.7289156626506024,0.35714285714285715,0.5,0.5,0.2614458110183477,0.4182835459796479,0.28457493199675804,0.26532395368799205,2.481329690530159,0.3371462773686896,0.1,0.2,6.0,,,18.061599999993632,23.199340000004305,23.77930000001288,7.0,6.0,8.0,2.0,0.8,163.0,4.0,3.0,166.0,0.9760479041916168,0.01775147928994083,0.958296424901676,0.4
15,0.9791666666666666,0.875,0.8888888888888888,0.5,0.48333333333333334,0.7951807228915663,0.35714285714285715,0.625,0.65625,0.26428894700075034,0.3560993634891929,0.2933162480039755,0.3166228244352775,1.9999383576000886,0.5616828016665143,0.0,0.3,6.0,,,22.433099999994738,25.96077999999543,24.534800000012183,7.0,7.0,8.0,4.0,0.6666666666666666,140.0,9.0,3.0,144.0,0.9395973154362416,0.02040816326530612,0.9191891521709354,0.25
16,0.9583333333333334,0.875,0.8888888888888888,0.8333333333333334,0.6444444444444445,0.6626506024096386,1.0,0.59375,0.59375,0.2347438474826049,0.2749975109472871,0.23891568052931683,0.24477152259205467,0.2855422300616434,0.6447065901379876,0.0,0.4,6.0,,,23.934300000011916,31.463819999998805,33.77589999997615,7.0,7.0,10.0,2.0,0.8333333333333334,178.0,9.0,0.0,189.0,0.9518716577540107,0.0,0.9518716577540107,0.65
17,0.9791666666666666,0.8958333333333334,0.9444444444444444,0.8333333333333334,0.7222222222222222,0.7289156626506024,0.7142857142857143,0.78125,0.8125,0.24706720348331146,0.2641007939819246,0.21971810149261725,0.25239869326663505,0.27528867707186344,0.2324681323700739,0.0,0.0,6.0,,,21.526800000011917,27.13543999999761,24.688899999976158,7.0,8.0,12.0,2.0,0.8571428571428571,162.0,2.0,0.0,164.0,0.9878048780487805,0.0,0.9878048780487805,0.7
18,1.0,0.9166666666666666,1.0,0.75,0.6944444444444444,0.8192771084337349,0.8571428571428571,0.75,0.78125,0.19980182897415935,0.24726787596591746,0.17842631594976405,0.2061059967711723,0.2532014182652347,0.18684494762565007,0.1,0.2,6.0,,,25.369900000035756,32.553680000007155,32.01989999997616,7.0,7.0,10.0,2.0,0.8333333333333334,141.0,7.0,0.0,148.0,0.9527027027027027,0.0,0.9527027027027027,0.45
19,0.8958333333333334,0.8125,0.9444444444444444,0.5555555555555556,0.55,,,0.6875,0.6875,0.23458804900292304,0.2928539149579592,0.2182770289946347,0.23744974379660558,1.014331505099986,0.2296417534154647,0.2,0.4,6.0,,,20.506700000048113,27.901660000014452,24.001400000036483,7.0,7.0,8.0,4.0,0.6666666666666666,166.0,8.0,2.0,168.0,0.9540229885057471,0.011764705882352941,0.9422582826233942,0.45
20,1.0,0.7916666666666666,0.9444444444444444,0.7222222222222222,0.5888888888888889,0.6987951807228916,0.5,0.625,0.5625,0.22785194398602465,0.2812859754776582,0.25973469798918813,0.23106921059467517,1.1972203081687136,0.28684972556851185,0.1,0.4,6.0,,,26.637000000000626,41.353760000014155,30.960600000023987,7.0,6.0,8.0,2.0,0.8,162.0,6.0,2.0,166.0,0.9642857142857143,0.011904761904761904,0.9523809523809524,0.25
21,,,,,,,,,,,,,,,,0.1,0.5,6.0,,,17.204899999976988,22.663760000014555,23.605199999988145,6.0,6.0,8.0,2.0,0.8,148.0,3.0,5.0,148.0,0.9801324503311258,0.032679738562091505,0.9474527117690343,
22,1.0,0.8125,0.8888888888888888,0.6944444444444444,0.6388888888888888,0.6746987951807228,0.8571428571428571,0.6875,0.5625,0.22044379397993907,0.3006394429830834,0.1967265040148049,0.22286771949729883,1.1497189131733994,0.19972978110208395,0.1,0.2,6.0,,,19.013699999988063,26.276120000004767,23.05219999998809,7.0,12.0,18.0,4.0,0.8181818181818182,158.0,5.0,3.0,162.0,0.9693251533742331,0.01818181818181818,0.9511433351924149,0.0
23,0.9583333333333334,0.875,0.8055555555555556,0.8055555555555556,0.6055555555555555,0.7168674698795181,0.5714285714285714,0.625,0.625,0.2534767650067806,0.2491473520058207,0.2068614459712989,0.259239332699993,0.2746505406926033,0.2594212759305567,0.3,0.4,6.0,,,23.602499999999992,29.66039999998808,26.588699999988066,8.0,7.0,9.0,3.0,0.75,152.0,8.0,3.0,157.0,0.95,0.01875,0.9312499999999999,0.0
24,0.9583333333333334,0.875,0.8888888888888888,0.7222222222222222,0.5833333333333334,0.7168674698795181,0.2857142857142857,0.53125,0.59375,0.237680469523184,0.2624710369855165,0.2751210995193105,0.24333147809763128,3.286100450588053,0.3188004569654973,0.0,0.1,6.0,161.37499996714277,465.3214285371428,27.24540000003617,38.49299999998821,31.985699999988356,6.0,5.0,6.0,2.0,0.75,113.0,21.0,11.0,127.0,0.8432835820895522,0.07971014492753623,0.763573437162016,0.15
25,0.9583333333333334,0.9166666666666666,0.8888888888888888,0.75,0.7,0.7349397590361446,0.7142857142857143,0.75,0.5,0.2590926589909941,0.2563573200022802,0.22323234152281657,0.2679001873756502,0.2609891147585585,0.23699776806364145,0.2,0.1,6.0,18.374999750000033,49.625000128571514,23.348199999989447,29.73915999999117,28.683899999976347,6.0,8.0,10.0,4.0,0.7142857142857143,172.0,2.0,0.0,170.0,0.9885057471264368,0.0,0.9885057471264368,0.0
26,1.0,0.9375,0.8888888888888888,0.6944444444444444,0.5666666666666667,0.7590361445783133,0.5,0.59375,0.71875,0.2776375980465673,0.3560779350227676,0.28254143550293515,0.38089147721144273,0.6514536017624276,0.3053689993006022,0.0,0.2,6.0,,,26.006300000011834,35.98888000000697,30.733000000000175,8.0,6.0,6.0,4.0,0.6,138.0,4.0,1.0,145.0,0.971830985915493,0.00684931506849315,0.9649816708469998,0.05
27,1.0,0.8333333333333334,0.8333333333333334,0.5,0.46111111111111114,0.8072289156626506,0.5714285714285714,0.53125,0.625,0.19219253849587398,0.2632658545044251,0.1700747960130684,0.20321900850782787,0.2715459032682702,0.17517145754817615,,,,,,17.282500000001164,20.716199999999663,20.215300000010757,7.0,8.0,10.0,4.0,0.7142857142857143,174.0,2.0,3.0,173.0,0.9886363636363636,0.017045454545454544,0.9715909090909091,0.75
28,0.8541666666666666,0.8125,0.8333333333333334,0.6388888888888888,0.5833333333333334,0.7710843373493976,0.35714285714285715,0.84375,0.625,0.27278595999814564,0.29235744848847384,0.27441450601327233,0.27143922054092395,4.356926013800936,0.29196044739607413,,,,,,26.389300000011644,31.99488000000747,27.876500000000306,7.0,5.0,6.0,2.0,0.75,137.0,7.0,5.0,139.0,0.9513888888888888,0.034722222222222224,0.9166666666666666,0.4
29,0.9375,0.8333333333333334,0.8611111111111112,0.5555555555555556,0.48333333333333334,0.7289156626506024,0.42857142857142855,0.5,0.71875,0.2576757064962294,0.29373739002039656,0.2598511750111356,0.2545744961108236,0.2957919110621636,0.25242918880345916,0.0,0.2,6.0,28.89285710999994,74.58928577714268,25.63489999997616,29.03858000000715,27.266700000047678,6.0,8.0,10.0,4.0,0.7142857142857143,124.0,28.0,6.0,146.0,0.8157894736842105,0.039473684210526314,0.7763157894736842,0.0
