targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,1,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.00338511099972,None,87.1032939480001,None,88.036494855,None,1.4973544973544972,1.532428438000352,88.036494855,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.57004976300004,None,90.66993893500012,None,91.60318639299976,None,1.392063492063492,0.66595734800012,91.60318639299976,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.27008875699994,None,93.36993065599972,None,94.30318313399994,None,1.3804232804232806,0.6496394539999528,94.30318313399994,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,1,4,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.95349933999978,None,96.05318739099994,None,96.98645276799971,None,1.671957671957672,0.5988342000000557,96.98645276799971,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,5,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58668150199992,None,98.68659126500006,None,99.6198636009999,None,1.2449735449735448,0.5331220749999375,99.6198636009999,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,1,6,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1539025510001,None,101.25315450800008,None,102.18652559600014,None,1.673015873015873,1.282599389999632,102.18652559600014,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,0,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.47009616000014,None,104.57011422100004,None,105.5031652419998,None,1.7126984126984128,0.915604834000078,105.5031652419998,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.42008048699972,None,107.52004168299982,None,108.45352377099971,None,1.2026455026455025,0.9005157369997505,108.45352377099971,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,2,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.35374179600012,None,110.45324196499996,None,111.38648087899992,None,1.2201058201058201,0.6496135430002141,111.38648087899992,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,3,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.03677134500003,None,113.13678407999987,None,114.06985911899983,None,1.7216931216931217,0.9507537189997493,114.06985911899983,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,4,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0200739679999,None,116.11985686099979,None,117.05323596400012,None,1.491005291005291,0.6319026010000925,117.05323596400012,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,5,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.68672697700003,None,118.78675122999994,None,119.72002233600006,None,1.6783068783068784,1.015654492000067,119.72002233600006,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.73684707099983,None,121.83670518400004,None,122.76994458699983,None,1.4417989417989419,1.0830726059998597,122.76994458699983,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,3,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.85384836499998,None,124.95327455899996,None,125.8866211300001,None,1.4,0.4827476369996475,125.8866211300001,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,3,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.37007705899987,None,127.4699031099999,None,128.40345013299975,None,1.564021164021164,0.8327661110001827,128.40345013299975,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,3,2,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2367807229998,None,130.3366389150001,None,131.26993530899972,None,1.3444444444444446,0.5168822319997162,131.26993530899972,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,3,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.78737089800006,None,132.8866955139997,None,133.81987314499975,None,1.5037037037037035,0.8664776809996511,133.81987314499975,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,3,4,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.68675617400004,None,135.786555185,None,136.71992865499988,None,1.4148148148148147,0.6334655780001412,136.71992865499988,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,5,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.35342379299982,None,138.45326745400007,None,139.38654373999998,None,1.5751322751322752,1.0326860209997903,139.38654373999998,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,3,6,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.4205366729998,None,141.51990247499998,None,142.45340370999975,None,1.3174603174603174,0.49977044100023704,142.45340370999975,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,4,0,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.953645004,None,144.0532732239999,None,144.98651841899982,None,1.6116402116402115,0.6492602080002143,144.98651841899982,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,4,1,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.63689162399987,None,146.73650402199974,None,147.6699665189999,None,1.5074074074074075,0.48236224200036304,147.6699665189999,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,4,2,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.15351771099995,None,149.25326158000007,None,150.1867403199999,None,1.6645502645502646,0.28300147300024037,150.1867403199999,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,4,3,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.47008315499988,None,151.57000580600015,None,152.50329444399995,None,1.5026455026455028,0.6998332809998828,152.50329444399995,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,4,4,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.20348225099997,None,154.30345178700009,None,155.236559769,None,1.7153439153439154,1.2339396469997155,155.236559769,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,4,5,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.48681513099973,None,157.58670372400002,None,158.52011583400008,None,1.453968253968254,0.6498200800001541,158.52011583400008,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,4,6,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.1701001299998,None,160.27001034099976,None,161.20336574800012,None,1.632804232804233,2.5831807939998725,161.20336574800012,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,5,0,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.78719200099977,None,164.88662432499996,None,165.81991673699986,None,1.282010582010582,0.23307993700018415,165.81991673699986,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,5,1,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0534914089999,None,167.1533627240001,None,168.08668471300007,None,1.3195767195767196,0.7160616320002191,168.08668471300007,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,5,2,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.80345081799987,None,169.90341580199993,None,170.8367207289998,None,1.7185185185185186,1.7827684740000223,170.8367207289998,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,5,3,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6201681739999,None,173.72004961899984,None,174.65329644899975,None,1.3137566137566137,0.2496280039999874,174.65329644899975,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
