targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.31726155802608,None,96.41694806609303,None,97.35035084281117,None,1.1994708994708994,0.7153006941080093,97.35035084281117,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.06717065814883,None,99.16703519877046,None,100.10034096287563,None,1.182010582010582,0.7321908986195922,100.10034096287563,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,1,4,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8338364479132,None,101.93381492607296,None,102.86698435992002,None,1.7148148148148148,1.299047372303903,102.86698435992002,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,1,5,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.16717544617131,None,105.2668123501353,None,106.20038568414748,None,1.306878306878307,1.0484408321790397,106.20038568414748,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,1,6,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.25060213916004,None,108.35033683292568,None,109.28352985717356,None,1.6661375661375661,0.8162977658212185,109.28352985717356,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,0,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1019262848422,None,111.21701030479744,None,112.13361411215737,None,1.6582010582010582,0.6820887862704694,112.13361411215737,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,1,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.81714732805267,None,113.9169173007831,None,114.85023226216435,None,1.319047619047619,0.7167052202858031,114.85023226216435,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,2,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56853771302849,None,116.6836360078305,None,117.60027823178098,None,1.1693121693121693,1.3330878373235464,117.60027823178098,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,3,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.93405576981604,None,120.033641978167,None,120.96693572215736,None,1.1264550264550266,0.9148740880191326,120.96693572215736,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,4,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8838387480937,None,122.98376551410183,None,123.91703546792269,None,1.6042328042328042,0.8660000199452043,123.91703546792269,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
