wordList,condition,conditionCode,audioFile,trialType,corrFlash,corrBeeps,f1Start,f2Start,f3Start,f4Start,b1Start,b2Start,b3Start,b4Start,f1Color,f2Color,f3Color,f4Color,b1Vol,b2Vol,b3Vol,b4Vol,crossColor,crossContrast,firstResp,wordPresentation.thisRepN,wordPresentation.thisTrialN,wordPresentation.thisN,wordPresentation.thisIndex,flashPractice.thisRepN,flashPractice.thisTrialN,flashPractice.thisN,flashPractice.thisIndex,beepPractice.thisRepN,beepPractice.thisTrialN,beepPractice.thisN,beepPractice.thisIndex,welcomeTxt.started,welcomeTxt.stopped,goOnAndStart.keys,goOnAndStart.rt,goOnAndStart.started,goOnAndStart.stopped,helloWordTest.started,helloWordTest.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,preWordFixCross.started,preWordFixCross.stopped,wordText_2.started,wordText_2.stopped,wordListTime,text_7.started,text_7.stopped,text_8.started,text_8.stopped,helloInstr.started,helloInstr.stopped,beginPractPress.keys,beginPractPress.rt,beginPractPress.started,beginPractPress.stopped,text_4.started,text_4.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,practiceTypeHeader.started,practiceTypeHeader.stopped,fillInText.started,fillInText.stopped,firstResponseQ,flashCondition,flashCode,crossSetup.started,crossSetup.stopped,gratP1.started,gratP1.stopped,gratP2.started,gratP2.stopped,gratP3.started,gratP3.stopped,gratP4.started,gratP4.stopped,practiceBeep1.started,practiceBeep1.stopped,practiceBeeps2.started,practiceBeeps2.stopped,practiceBeeps3.started,practiceBeeps3.stopped,practiceBeeps4.started,practiceBeeps4.stopped,text_2.started,text_2.stopped,Border_1V.started,Border_1V.stopped,Border_2V.started,Border_2V.stopped,Border_3V.started,Border_3V.stopped,Border_4V.started,Border_4V.stopped,R1GeneralPrompt_3.started,R1GeneralPrompt_3.stopped,flashPromptTxt_2.started,flashPromptTxt_2.stopped,mouseClick1Vis.x,mouseClick1Vis.y,mouseClick1Vis.leftButton,mouseClick1Vis.midButton,mouseClick1Vis.rightButton,mouseClick1Vis.time,mouseClick1Vis.clicked_name,mouseClick1Vis.started,mouseClick1Vis.stopped,clickCounter,flashClick,flashRespNum,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,polygonVis_F1.started,polygonVis_F1.stopped,polygonVis_F2.started,polygonVis_F2.stopped,polygonVis_F3.started,polygonVis_F3.stopped,polygonVis_F4.started,polygonVis_F4.stopped,flashVisOpt1.started,flashVisOpt1.stopped,flashVisOpt2.started,flashVisOpt2.stopped,flashVisOpt3.started,flashVisOpt3.stopped,flashVisOpt4.started,flashVisOpt4.stopped,flashPic.started,flashPic.stopped,rollingOnVis.started,rollingOnVis.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Market,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,110.45998380996753,111.66031007899437,111.65023692697287,110.45998380996753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
Candle,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,114.6510477559641,115.8514756920049,115.84153106191661,114.6510477559641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,4,,,,,,,,,,,,,,,,,,,,,118.85236416698899,120.0527541449992,120.03270161699038,118.85236416698899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
Beggar,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,123.04351962101646,124.24389266199432,124.23386596201453,123.04351962101646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
Prince,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,10,,,,,,,,,,,,,,,,,,,,,127.23474925791379,128.43511804798618,128.42505994194653,127.23474925791379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
Kitten,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,16,,,,,,,,,,,,,,,,,,,,,131.43596912093926,132.63618670101278,132.61636131093837,131.43596912093926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,135.61719081900083,136.81759251491167,136.80756198090967,None,140.80861814599484,None,space,16.842795600998215,140.88856499793474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.74358165299054,None,space,2.953904303954914,157.8334463259671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,1F0B,5,silence_102021.wav,1 flash,1,0,12,19,20,21,0,6,12,18,0,1,1,1,0,0,0,0,white,1,f,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8443312390009,None,160.8443312390009,None,f,1F0B,5,163.80515034100972,None,164.6256347099552,164.63549371401314,164.69549619895406,164.70544171298388,164.70544171298388,164.7155031019356,164.7155031019356,164.72543894697446,164.50533977781888,None,164.56536642184946,None,164.62533492981456,None,164.68537899388465,None,164.72543894697446,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,[-0.23958333333333334],[0.048177083333333336],[1],[0],[0],[2.6642902869498357],['polygonVis_F1'],0.0022827748907729983,None,0,['polygonVis_F1'],1,space,0.8369762729853392,168.16637510899454,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,165.51562400301918,None,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,2F0B,10,silence_102021.wav,2 flashes,2,0,9,15,20,21,0,6,12,18,0,0,1,1,0,0,0,0,white,1,f,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0567465960048,None,169.0567465960048,None,f,2F0B,10,172.0575756789185,None,172.84780096099712,172.8577508860035,172.90776712901425,172.91781022492796,172.95774521597195,172.96774616499897,172.96774616499897,172.9777359860018,172.75762953984085,None,172.81755422186106,None,172.87772983186878,None,172.93775014488492,None,172.9777359860018,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,[-0.09244791666666667],[-0.02734375],[1],[0],[0],[4.241107326000929],['polygonVis_F2'],0.007806663867086172,None,0,['polygonVis_F2'],2,space,0.5579458030406386,177.989395679906,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,173.74802333500702,None,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,3F0B,15,silence_102021.wav,3 flashes,3,0,5,11,17,20,0,6,12,18,0,0,0,1,0,0,0,0,white,1,f,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.59924325998873,None,178.59924325998873,None,f,3F0B,15,181.60022101493087,None,182.35049673297908,182.3604210279882,182.4106094390154,182.42060542700347,182.4705011389451,182.48040357790887,182.50061858596746,182.51052263693418,182.30044155884534,None,182.36049900287762,None,182.42061170891392,None,182.48050340884365,None,182.51052263693418,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,[0.03125],[-0.041666666666666664],[1],[0],[0],[1.380133124999702],['polygonVis_F3'],0.007788947899825871,None,0,['polygonVis_F3'],3,space,0.49402550898958,184.66132141498383,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,183.28071565693244,None,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,4F0B,20,silence_102021.wav,4 flashes,4,0,0,6,12,18,0,6,12,18,0,0,0,0,0,0,0,0,white,1,f,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2113397240173,None,185.2113397240173,None,f,4F0B,20,188.21224514394999,None,188.91237290401477,188.92244963091798,188.9723257619189,188.98233830090612,189.03239422594197,189.042328374926,189.09241766796913,189.1023698329227,188.91229502591304,None,188.9724756638985,None,189.03235540087334,None,189.0924567558337,None,189.1023698329227,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,[0.18489583333333334],[-0.040364583333333336],[1],[0],[0],[1.3300207800930366],['polygonVis_F4'],0.007736397907137871,None,0,['polygonVis_F4'],4,space,0.1843884220579639,191.2029660010012,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,189.87267886393238,None,,,,,,,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.43301177490503,None,space,2.640222982969135,191.52320932596922,None,47,001,2023_Mar_08_0955,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,99.66891777844701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.20387032290455,None,194.20387032290455,None,b,0F1B,1,197.1746535579441,None,197.87500172201544,197.88494723499753,197.9349277149886,197.94495252193883,197.99495096399914,198.00481666298583,198.05496507894713,198.0650282629067,197.99490775985177,None,198.03485174281522,None,198.0448040528223,None,198.0548220448196,None,198.0650282629067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
