Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2
grace.wav,grace.mpg,grace,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
fruit.wav,fruit.mpg,fruit,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
glue.wav,glue.mpg,glue,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
greek.wav,greek.mpg,greek,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
bond.wav,bond.mpg,bond,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
flat.wav,flat.mpg,flat,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
creek.wav,creek.mpg,creek,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
beef.wav,beef.mpg,beef,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
bib.wav,bib.mpg,bib,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
dip.wav,dip.mpg,dip,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
broad.wav,broad.mpg,broad,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
ham.wav,ham.mpg,ham,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
toast.wav,toast.mpg,toast,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
two.wav,two.mpg,two,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
bring.wav,bring.mpg,bring,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
card.wav,card.mpg,card,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
float.wav,float.mpg,float,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
burn.wav,burn.mpg,burn,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
bind.wav,bind.mpg,bind,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
curve.wav,curve.mpg,curve,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
cane.wav,cane.mpg,cane,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
grind.wav,grind.mpg,grind,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
chip.wav,chip.mpg,chip,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
bath.wav,bath.mpg,bath,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
