Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2
layer.wav,layer.mpg,layer,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
dress.wav,dress.mpg,dress,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
fat.wav,fat.mpg,fat,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
check.wav,check.mpg,check,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
grail.wav,grail.mpg,grail,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
phase.wav,phase.mpg,phase,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
drug.wav,drug.mpg,drug,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
warmth.wav,warmth.mpg,warmth,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
dive.wav,dive.mpg,dive,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
damp.wav,damp.mpg,damp,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
clock.wav,clock.mpg,clock,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
pledge.wav,pledge.mpg,pledge,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
booth.wav,booth.mpg,booth,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
cheap.wav,cheap.mpg,cheap,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
fee.wav,fee.mpg,fee,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
gross.wav,gross.mpg,gross,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
bat.wav,bat.mpg,bat,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
news.wav,news.mpg,news,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
golf.wav,golf.mpg,golf,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
stone.wav,stone.mpg,stone,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
batch.wav,batch.mpg,batch,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
cute.wav,cute.mpg,cute,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
shock.wav,shock.mpg,shock,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
crack.wav,crack.mpg,crack,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
brawl.wav,brawl.mpg,brawl,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
block.wav,block.mpg,block,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
game.wav,game.mpg,game,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
flu.wav,flu.mpg,flu,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
dense.wav,dense.mpg,dense,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
fetch.wav,fetch.mpg,fetch,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
green.wav,green.mpg,green,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
fog.wav,fog.mpg,fog,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
forth.wav,forth.mpg,forth,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
toy.wav,toy.mpg,toy,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
bulb.wav,bulb.mpg,bulb,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
rod.wav,rod.mpg,rod,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
cold.wav,cold.mpg,cold,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
beat.wav,beat.mpg,beat,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
crew.wav,crew.mpg,crew,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
grave.wav,grave.mpg,grave,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
chief.wav,chief.mpg,chief,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
