targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8042517560001,None,78.903989346,None,79.83722572099998,None,1.3867724867724869,0.8853030020000006,79.83722572099998,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.738166363,None,81.83731352200004,None,82.77063486899999,None,1.3645502645502645,0.9176008890001413,82.77063486899999,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,1,4,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.68927522199999,None,84.80410733099995,None,85.72066469699996,None,1.6444444444444444,0.9509308269998655,85.72066469699996,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,5,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.68746576199999,None,87.78716822900003,None,88.70406651099995,None,1.3084656084656086,1.4669542359999923,88.70406651099995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,1,6,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.18758790699997,None,91.28742412899999,None,92.22082717199999,None,1.6904761904761905,1.0175240580001628,92.22082717199999,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,0,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2541816690001,None,94.35393606900004,None,95.28743133,None,1.253968253968254,1.1503556019999905,95.28743133,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,2,1,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.45412535000003,None,97.55379465299995,None,98.48733197600006,None,1.6084656084656084,1.0324715379999816,98.48733197600006,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,2,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.52076326899999,None,100.62052217200005,None,101.55399201500006,None,1.284126984126984,0.8333867559999817,101.55399201500006,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,3,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.38818533000006,None,103.48727698300002,None,104.42068900200013,None,1.6005291005291005,0.91789033200007,104.42068900200013,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,4,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.35410918200012,None,106.45390665800016,None,107.3873007420001,None,1.6068783068783068,0.8830012440000701,107.3873007420001,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
