filePaths,rhythm,stim1,stim2,stim3,stim4,stim5,stim6,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,stim6Start,stim6End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim6_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,stim6Start_i2,stim6End_i2,audFile_i2,audStart_i2,similCat_i2,setVol,corrMatchAnswer,overallRhythmOrder.thisRepN,overallRhythmOrder.thisTrialN,overallRhythmOrder.thisN,overallRhythmOrder.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,text_3.started,goToNext.started,goToNext.keys,goToNext.rt,variableInstructions.started,goToBlockKey.started,goToBlockKey.keys,goToBlockKey.rt,text_2.started,preFix.started,preFix.stopped,holdFix.started,audioTrialSound.started,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,holdFix.stopped,cir6.stopped,text.started,text.stopped,holdFix_i2.started,audioTrialSound_i2.started,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,holdFix_i2.stopped,rhythmChoice.started,promptTxt.started,rhythmChoice.keys,rhythmChoice.rt,text_5.started,text_5.stopped,text_2.stopped,breatheBro.started,image.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.278986375997192,18.464719455005252,space,20.311975570002687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,23,2,1,2,1,1,2,11,41,56,61,76,106,121,126,141,146,161,191,3_audFile.wav,10,6,23,2,1,2,1,1,2,11,41,56,61,76,106,121,126,141,146,161,191,3_audFile.wav,10,6,0,1,0,0,0,0,0,0,0,13,,,,,38.9005495839956,39.00058933800028,space,4.295752984005958,43.341800622001756,43.512007686993456,44.5121827069961,44.532168830002774,44.631984897605435,44.642224776005605,44.94238621799741,45.09231617000478,45.14238134199695,45.29245627199998,45.59252666099928,45.7424897650053,45.79267660599726,45.94254682099563,45.992627208004706,46.14266217200202,46.39267898899561,46.442835501002264,46.442835501002264,47.75315049600613,47.75315049600613,47.852991477593605,47.863204338005744,48.1631159200042,48.3132284089952,48.36338162899483,48.51326993800467,48.8135211399931,48.96351850699284,49.013651201006724,49.16348672899767,49.2137041399983,49.36368425900582,49.663706399995135,50.11385958000028,50.11385958000028,50.11385958000028,1,1.615353478002362,51.75412292400142,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,24,1,2,2,1,1,2,11,16,31,61,76,106,121,126,141,146,161,191,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,31,61,76,81,96,126,141,171,186,191,3_audFile.wav,10,5,0,2,0,0,0,0,0,1,1,5,,,,,,,,,53.25473082899407,53.44482474599499,54.44510686300055,54.455038444997626,54.55481552960555,54.565042086003814,54.615089896993595,54.76506408699788,55.06519326999842,55.21516178500315,55.51521637500264,55.6655157829955,55.71535975400184,55.865327238003374,55.91549145799945,56.065421146995504,56.315533474000404,56.36565064599563,56.36565064599563,57.66604629700305,57.66604629700305,57.76568430360203,57.77588214700518,57.82593797899608,57.97606562500005,58.27606403299433,58.42614385900379,58.47614452599373,58.62630202200671,58.92635644499387,59.076300226006424,59.376483674001065,59.52649879199453,59.576478970993776,60.02657022399944,60.02657022399944,60.02657022399944,2,2.935302473997581,62.98738492200209,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,26,1,2,1,2,1,2,11,16,31,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,5,26,1,2,1,2,1,2,11,16,31,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,5,0,1,0,0,0,0,0,2,2,2,,,,,,,,,64.48788164000143,64.6679018339928,65.668165983996,65.68816465100099,65.78813692159747,65.79825941300078,65.84822448600607,65.99834736500634,66.29831083500176,66.44847691600444,66.49841945599474,66.64846860599937,66.94848840399936,67.09867530400516,67.14869898400502,67.2987061629974,67.54886740399525,67.59877318399958,67.59877318399958,68.89934000599897,68.89934000599897,68.99899997459579,69.00917718900018,69.05929075099993,69.20919753299677,69.50930800099741,69.65933246200439,69.70928598099272,69.85951083200052,70.15947857299761,70.30945329800306,70.35954622499412,70.50968252999883,70.8096926510043,71.26005208099377,71.26005208099377,71.26005208099377,1,0.5167758189927554,71.79992283300089,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,17,2,1,2,2,1,1,11,41,56,61,76,106,121,151,166,171,186,191,3_audFile.wav,10,6,17,2,1,2,2,1,1,11,41,56,61,76,106,121,151,166,171,186,191,3_audFile.wav,10,6,0,1,0,0,0,0,0,3,3,12,,,,,,,,,73.30047598099918,73.48047401200165,74.48076799699629,74.50085722299991,74.60051870259485,74.61079905299994,74.91081707700505,75.06084335199557,75.11098175799998,75.26094395399559,75.56102998999995,75.71107665200543,76.01107446900278,76.16114755099989,76.21122817399737,76.36117331299465,76.36117331299465,76.41138166299788,76.41138166299788,77.71172988100443,77.71172988100443,77.81158376359235,77.82168453300255,78.12175407999894,78.27179606299615,78.3218847859971,78.47191128600389,78.77202305699757,78.9220462020021,79.22213922199444,79.37214766199759,79.42220119699778,79.57229118299438,79.62218911100354,80.07228512999427,80.07228512999427,80.07228512999427,1,0.4561781429947587,80.5525159079989,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,17,2,1,2,2,1,1,11,41,56,61,76,106,121,151,166,171,186,191,3_audFile.wav,10,6,25,2,1,1,2,1,2,11,41,56,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,6,0,2,0,0,0,0,0,4,4,1,,,,,,,,,82.05288341800042,82.23292444100662,83.23317536899413,83.25326565100113,83.35309991260146,83.36327780100692,83.66337491199374,83.81340841999918,83.86344845200074,84.01346098800423,84.31357754599594,84.46362052499899,84.7636318510049,84.91365894000046,84.96374387000105,85.11392385099316,85.11392385099316,85.16377937000652,85.16377937000652,86.4642423470068,86.4642423470068,86.56399611160305,86.5741324559931,86.87424267400638,87.02432892400248,87.07422624000174,87.22440085699782,87.27435307799897,87.42441542400047,87.72449337900616,87.87448077800218,87.9245500889956,88.07462523400318,88.37465550299385,88.82481765600096,88.82481765600096,88.82481765600096,2,0.31188053800724447,89.16495473899704,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,29,1,1,2,1,2,2,11,16,31,36,51,81,96,101,116,146,161,191,3_audFile.wav,10,4,27,1,1,2,2,1,2,11,16,31,36,51,81,96,126,141,146,161,191,3_audFile.wav,10,4,0,2,0,0,0,0,0,5,5,25,,,,,,,,,90.66536785000062,90.85535883500415,91.85572453700297,91.86576789899846,91.96560712559585,91.9757030079927,92.02568095599418,92.17573850200279,92.22568074399896,92.3757732679951,92.67590364199714,92.82607612200081,92.87597907900636,93.02589555899613,93.32619447199977,93.4761929929955,93.72627359400212,93.77615550300106,93.77615550300106,95.07695856700593,95.07695856700593,95.17651600759564,95.18664820599952,95.23675707199436,95.38664409400371,95.43681033700705,95.5867532179982,95.88685345600243,96.03680211800383,96.33701900599408,96.48695609500282,96.53703118600242,96.68715634600085,96.98723194299964,97.43740888299362,97.43740888299362,97.43740888299362,2,0.3955999720055843,97.85734631499508,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,21,2,1,1,2,2,1,11,41,56,61,76,81,96,126,141,171,186,191,3_audFile.wav,10,6,23,2,1,2,1,1,2,11,41,56,61,76,106,121,126,141,146,161,191,3_audFile.wav,10,6,0,2,0,0,0,0,0,6,6,7,,,,,,,,,99.35790694599564,99.54785931699735,100.54818919100217,100.55819968599826,100.6579962866017,100.66816690699488,100.96828143199673,101.11829414000385,101.16841104300693,101.31832547200611,101.36840962000133,101.51844042200537,101.81859111999802,101.96866313999635,102.2687004449981,102.41863420100708,102.41863420100708,102.46874429300078,102.46874429300078,103.76929661100439,103.76929661100439,103.86899524259934,103.87909020099323,104.17925750899303,104.32914850499947,104.37927626399323,104.52938704499684,104.82931381100207,104.9793955829955,105.02950541500468,105.17951846899814,105.22953832900384,105.37957693099452,105.67964692199894,106.12983102399448,106.12983102399448,106.12983102399448,2,0.4869565070112003,106.63999956900079,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,26,1,2,1,2,1,2,11,16,31,61,76,81,96,126,141,146,161,191,3_audFile.wav,10,5,20,1,2,2,1,2,1,11,16,31,61,76,106,121,126,141,171,186,191,3_audFile.wav,10,5,0,2,0,0,0,0,0,7,7,23,,,,,,,,,108.14039607999439,108.33034013499855,109.33072398000513,109.34075961899362,109.44055807559198,109.45074716200179,109.50069739400351,109.65069676400162,109.95086490899848,110.10086295699875,110.15093092000461,110.30090503400424,110.60108567199495,110.75106160200085,110.80112469299638,110.95114395799465,111.20115433400497,111.25117853899428,111.25117853899428,112.55171672999859,112.55171672999859,112.65140775260079,112.66150000700145,112.71164503900218,112.86165881100169,113.16176122199977,113.31183789100032,113.61197318599443,113.76197686599335,113.81199726299383,113.96210429999337,114.26209221700265,114.41214344599575,114.46229359299468,114.91240758600179,114.91240758600179,114.91240758600179,2,0.40867389499908313,115.34246790100588,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/p4_VisualBlock1.csv,20,1,2,2,1,2,1,11,16,31,61,76,106,121,126,141,171,186,191,3_audFile.wav,10,5,20,1,2,2,1,2,1,11,16,31,61,76,106,121,126,141,171,186,191,3_audFile.wav,10,5,0,1,0,0,0,0,0,8,8,26,,,,,,,,,116.84274186000403,117.0329804590001,118.03326256900618,118.04330270999344,118.14298199860059,118.1532771820057,118.20329156599473,118.35318985900085,118.65326848799305,118.80344272099319,119.103546422004,119.25363738200394,119.30341402899649,119.45354020599916,119.75368662900291,119.9037432979967,119.9037432979967,119.95385597199493,119.95385597199493,121.25414875900606,121.25414875900606,121.3538985316045,121.36409612899297,121.41418651900312,121.56421270499413,121.86422524499358,122.01420958900417,122.3144481000054,122.4643765350047,122.51453797900467,122.66452575399308,122.96465947000252,123.1146532779967,123.16469750400574,123.61485454799549,123.61485454799549,123.61485454799549,1,0.24299318999692332,123.88491085599526,,,,,p4,001,2023-01-31_12h32.18.812,Cognition2_FullCode1,2022.2.5,99.98534215071689,
