targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,1,1,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.57751717511564,None,97.67741342028603,None,98.61071808822453,None,1.7671957671957672,0.7497384548187256,98.61071808822453,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.36198603222147,None,100.47728487988934,None,101.39379988610744,None,1.1925925925925926,0.6995584606193006,101.39379988610744,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.09468575613573,None,103.19373829290271,None,104.12723560584709,None,1.4523809523809523,0.5835726563818753,104.12723560584709,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,1,4,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7113258340396,None,105.81052220100537,None,106.74364997027442,None,1.7587301587301587,0.5834658700041473,106.74364997027442,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,1,5,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3278340101242,None,108.42712421296164,None,109.36041319184005,None,1.4994708994708994,0.7503845328465104,109.36041319184005,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,6,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.11153769493103,None,111.21055625518784,None,112.14385946514085,None,1.126984126984127,0.5999188190326095,112.14385946514085,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.74420673912391,None,113.84405429894105,None,114.77722201822326,None,1.4788359788359788,0.6989676849916577,114.77722201822326,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.47740794392303,None,116.5772640532814,None,117.51037437515333,None,1.2994708994708994,0.617056043818593,117.51037437515333,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,2,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.14405447384343,None,119.24412940815091,None,120.17722622398287,None,1.4037037037037037,0.648984357714653,120.17722622398287,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,3,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.82737214583904,None,121.92709928099066,None,122.86051851091906,None,1.3645502645502645,0.5825419882312417,122.86051851091906,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,4,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.44449878297746,None,124.54369436297566,None,125.47720274003223,None,1.3132275132275133,0.4833639790304005,125.47720274003223,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,5,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.96111795306206,None,127.06061156420037,None,127.99377325829118,None,1.5116402116402117,0.7330703609623015,127.99377325829118,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.72770579811186,None,129.8274666708894,None,130.76075514312834,None,1.3597883597883598,0.6170574328862131,130.76075514312834,None,,,,,,,,,,,,,,,,,138,001,2023_Nov_20_1653,Localization_IfspeechCrashes,2021.2.3,60.01318735209274,
